№;Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount;Russian language,GPA;Russian language,spravlyaemost;Mathematics profil,amount;Mathematics profil,GPA;Mathematics profil,spravlyaemost;Mathematics base,amount;Mathematics base,GPA;Mathematics base,spravlyaemost;Physics ,amount;Physics,GPA;Physics,spravlyaemost;Chemistry ,amount;Chemistry ,GPA;Chemistry,spravlyaemost;Biology,amount;Biology ,GPA;Biology,spravlyaemost;Geography ,amount;Geography ,GPA;Geography,spravlyaemost;Computer science ,amount;Computer science ,GPA;Computer science,spravlyaemost;Literature ,amount;Literature ,GPA;Literature,spravlyaemost;History ,amount;History ,GPA;History,spravlyaemost;Social Studies ,amount;Social Studies ,GPA;Social Studies,spravlyaemost;English ,amount;English ,GPA;English,spravlyaemost;German ,amount;German ,GPA;German,spravlyaemost;French ,amount;French ,GPA;French,spravlyaemost;Lat;Long
114;762426;Гаврилов-Ямский;;"Муниципальное общеобразовательное бюджетное учреждение ""Шопшинская средняя школа""";152252, Ярославская обл., Гаврилов-Ямский р-н, с. Шопша, ул. Центральная, д.5;Абрамова Майя Александровна;48534;32731;sop-school@rambler.ru;http://shopsh-gav.edu.yar.ru/;2;90,5;100;2;62,5;100;2;5;100;1;85;100;;;;;;;;;;;;;;;;1;70;100;2;70;100;;;;;;;;;;57.423281;39.641602
115;762409;Гаврилов-Ямский;;"Муниципальное общеобразовательное учреждение ""Великосельская средняя школа Гаврилов-Ямского муниципального района""";152250, Ярославская обл., Гаврилов-Ямский р-н, с. Великое, ул. Некрасовская, д.1;Ежикова Марина Станиславовна;48534;38144;velikoeschool@gmail.com;http://www.velikoeschool.ru;4;67,8;100;3;22,7;66,7;4;4,5;100;;;;;;;;;;;;;;;;;;;1;36;100;4;48,3;100;;;;;;;;;;57.350301;39.765983
116;763801;Гаврилов-Ямский;1;"Муниципальное общеобразовательное учреждение ""Средняя школа № 1""";152240, Ярославская обл., Гаврилов-Ямский р-н, г. Гаврилов-Ям, ул. Юбилейный пр., д.5;Поздышева Галина Александровна;48534;23078;gav-yam1@rambler.ru;http://sh1gav.edu.yar.ru;34;74,9;100;19;49,3;94,7;34;4,5;100;2;48;100;4;59,8;100;13;50,1;92,3;;;;2;49,5;100;;;;8;54;100;21;60,4;100;3;62,3;100;;;;;;;57.301574;39.869137
117;763803;Гаврилов-Ямский;3;"Муниципальное общеобразовательное учреждение ""Средняя школа № 3"" г. Гаврилов-Яма";152240, Ярославская обл., Гаврилов-Ямский р-н, г. Гаврилов-Ям, ул. Чернышевского, д.1;Онегина Наталия Павловна;48534;23278;soch3gavyam762007@rambler.ru;http://76413s003.edusite.ru;8;73;100;2;34;50;8;4,1;100;;;;1;60;100;;;;;;;;;;2;62,5;100;3;44;100;7;51,9;85,7;;;;;;;;;;57.293846;39.846185
118;763806;Гаврилов-Ямский;6;"Муниципальное общеобразовательное учреждение ""Средняя школа № 6""";152240, Ярославская обл., Гаврилов-Ямский р-н, г. Гаврилов-Ям, ул. Кирова, д.13;Меледина Ирина Юрьевна;48534;24278;gav-jam-school6@yandex.ru;http://sh6gav.edu.yar.ru;52;75;100;42;49,3;90,5;52;4,5;100;10;50,1;100;6;72,3;100;12;55,4;83,3;;;;1;50;100;1;71;100;8;54,1;100;32;57,6;100;2;41,5;100;;;;;;;57.306231;39.865184
119;761125;ГОУ;;"государственное общеобразовательное учреждение Ярославской области ""Центр помощи детям""";150040, Ярославская обл., г. Ярославль, ул. Некрасова, д.58;Иванова Татьяна Александровна;4852;739081, 738304;cpd.yaroslavl@mail.ru;http://cpd.yaroslavl.ru/;3;46,7;100;1;18;0;3;2,7;66,7;;;;;;;1;23;0;;;;;;;;;;;;;2;46;50;;;;;;;;;;57.633479;39.868292
120;762509;Даниловский;;муниципальное бюджетное общеобразовательное учреждение Дмитриевская средняя школа Даниловского района Ярославской области;152060, Ярославская обл., Даниловский р-н, с. Дмитриевское, ул. Южная, д.28;Ремизова Елена Владимировна;48538;33119;dmitr.schkola@yandex.ru;http://76308s023.edusite.ru;2;69;100;2;42;100;2;4,5;100;;;;;;;1;49;100;;;;;;;;;;;;;2;53,5;100;;;;;;;;;;57.996439;40.177744
121;762515;Даниловский;;муниципальное бюджетное общеобразовательное учреждение Макаровская средняя школа Даниловского района Ярославской области;152077, Ярославская обл., Даниловский р-н, д. Макарово, ул. Вологодская, д.18 ;Пучков Владимир Михайлович;48538;35527;makarovosohs@mail.ru;http://76308s024.edusite.ru;5;64,4;100;1;27;100;5;4;100;1;42;100;;;;1;48;100;;;;;;;;;;1;11;0;1;34;0;;;;;;;;;;58.311445;40.214862
122;762523;Даниловский;;муниципальное бюджетное общеобразовательное учреждение Середская средняя школа Даниловского района Ярославской области;152061, Ярославская обл., Даниловский р-н, с. Середа, ул. Октябрьская, д.34 ;Абрамова Надежда Валентиновна;48538;31110;seredskayshkola@mail.ru;http://seredskayshkola.edu.yar.ru;5;59,6;100;3;46,7;100;5;4,6;100;;;;;;;1;71;100;1;69;100;;;;;;;;;;2;56;100;;;;;;;;;;58.001418;40.439872
123;762525;Даниловский;;муниципальное бюджетное общеобразовательное учреждение Скоковская средняя школа Даниловского района Ярославской области;152084, Ярославская обл., Даниловский р-н, д. Туфаново, ул. Колхозная, д.3 ;Тихомирова Татьяна Владимировна;48538;34116;skokovo-shool@yandex.ru;http://76308s025.edusite.ru;7;66,9;100;1;14;0;7;4,1;100;;;;;;;1;68;100;2;48,5;100;;;;;;;;;;5;49,8;80;;;;;;;;;;57.993014;40.037167
124;762526;Даниловский;;муниципальное бюджетное общеобразовательное учреждение Спасская средняя школа Даниловского района Ярославской области;152090, Ярославская обл., Даниловский р-н, с. Спас, ул. Школьная, д.2 ;Галецкая Валентина Николаевна;48538;33673;spas_shcool@mail.ru;http://www.76308s022.edusite.ru;4;68,5;100;2;39;100;4;4,5;100;;;;;;;1;48;100;;;;;;;;;;;;;1;47;100;;;;;;;;;;58.20909;39.890319
125;763901;Даниловский;1;муниципальное бюджетное общеобразовательное учреждение средняя школа № 1 г.Данилова Ярославской области ;152070, Ярославская обл., Даниловский р-н, г. Данилов, пл. Советская, д.4 ;Косихина Надежда Михайловна;48538;50761;dan_school1@list.ru;http://www.76308s001.edusite.ru;14;75,2;100;5;62,4;100;14;4,6;100;3;45,3;100;1;100;100;3;61;66,7;;;;1;59;100;3;60,7;100;1;65;100;5;71;100;1;43;100;;;;;;;58.189289;40.174923
126;763905;Даниловский;12;муниципальное бюджетное общеобразовательное учреждение средняя школа № 12 г. Данилова Ярославской области;152070, Ярославская обл., Даниловский р-н, г. Данилов, ул. Урицкого, д.58-а ;Петрова Татьяна Алексеевна;48538;52679;danshcola12@mail.ru;http://76308s012.edusite.ru;18;68,6;100;12;50,4;100;18;4,3;100;4;49,5;100;2;63;100;3;53,3;100;;;;;;;;;;3;61;100;9;51,1;100;1;58;100;;;;;;;58.192567;40.17478
127;763902;Даниловский;2;муниципальное бюджетное общеобразовательное учреждение средняя школа № 2 им. В.И.Ленина г.Данилова Ярославской области ;152070, Ярославская обл., Даниловский р-н, г. Данилов, ул. Урицкого, д.46 ;Тихомирова Галина Александровна;48538;52579;mousoshdan2@mail.ru;http://sch2dan.edu.yar.ru;30;76,9;100;18;60,6;100;30;4,5;100;11;57,9;100;2;48;100;2;41,5;100;;;;4;73;100;1;63;100;5;59,4;80;14;61,1;100;1;87;100;;;;;;;58.191932;40.172103
128;762521;Даниловский;;муниципальное бюджетное общеобразовательное учреждение средняя школа имени Мичурина Даниловского района Ярославской области;152063, Ярославская обл., Даниловский р-н, д. Семлово, ул. Школьная, д.5 ;Головяшкина Надежда Васильевна;48538;32420;imMichurina@mail.ru;http://76308s026.edusite.ru;5;74,6;100;5;36,6;60;5;4,2;100;1;41;100;;;;;;;;;;;;;;;;2;48,5;100;3;58,7;100;;;;;;;;;;58.085362;40.359644
129;764011;Любимский;;Муниципальное образовательное учреждение Любимская вечерняя (сменная) общеобразовательная школа ;152470, Ярославская обл., Любимский р-н, г. Любим, ул. Даниловская, д.66;Елисеева Елена Михайловна;48543;22472;vecherka2007@km.ru;http://vsh-lub.edu.yar.ru;3;52,3;100;1;27;100;2;2,5;50;;;;;;;2;33;50;;;;;;;;;;;;;1;36;0;;;;;;;;;;58.357052;40.696108
130;764013;Любимский;;Муниципальное образовательное учреждение Любимская средняя общеобразовательная школа;152470, Ярославская обл., Любимский р-н, г. Любим, ул. Даниловская, д.66;Смирнова?Надежда?Николаевна;48543;21072;lyubssch@mail.ru;http://lub-sch.edu.yar.ru;34;74,9;100;29;50,4;86,2;28;4,5;100;4;56,8;100;3;70;100;6;61;100;;;;4;71,3;100;1;68;100;7;48,9;100;28;52,7;85,7;1;58;100;;;;;;;58.357052;40.696108
131;762605;Любимский;;Муниципальное общеобразовательное учреждение Ермаковская средняя общеобразовательная школа ;152490, Ярославская обл., Любимский р-н, д. Ермаково, ул. Центральная, д.17/1;Заварина Наталья Михайловна;48543;24114;erlub@list.ru;http://ermak-lub.edu.yar.ru;3;58,3;100;2;25;50;3;3,7;100;2;43;100;;;;;;;;;;;;;;;;;;;3;51;100;;;;;;;;;;58.322175;41.009386
132;762606;Любимский;;Муниципальное общеобразовательное учреждение Закобякинская средняя общеобразовательная школа ;152482, Ярославская обл., Любимский р-н, с. Закобякино, ул. Школьная, д.5;Савушкина Галина Владимировна;48543;25168;sakobyakino@yandex.ru;http://zakb-lub.edu.yar.ru;5;68,8;100;5;24,2;40;5;4,2;100;1;41;100;;;;2;37,5;50;;;;;;;;;;3;41;100;3;52,3;100;;;;;;;;;;58.104279;40.725213
133;764112;Мышкинский;;муниципальное общеобразовательное учреждение Мышкинская средняя общеобразовательная школа ;152830, Ярославская обл., Мышкинский р-н, г. Мышкин, ул. Загородная, д.93 ;Лихачева Елена Николаевна;48544;28150, 21558;len62@mail.ru;http://shmsh.edu.yar.ru ;12;75,3;100;10;36,5;70;7;4;100;;;;2;39,5;100;2;43;100;1;66;100;3;29;66,7;;;;2;58;100;11;54,4;90,9;1;38;100;;;;;;;57.794651;38.463794
134;762715;Мышкинский;;муниципальное общеобразовательное учреждение Рождественская средняя общеобразовательная школа ;152845, Ярославская обл., Мышкинский р-н, с. Рождествено, ул. Школьная, д.11;Карасева Татьяна Александровна;48544;24538;mourssh@yandex.ru;http://76418s004.edusite.ru;1;66;100;;;;1;4;100;;;;;;;1;36;100;;;;;;;;;;;;;;;;;;;;;;;;;57.728577;37.942637
135;762802;Некоузский;;муниципальное общеобразовательное учреждение Борковская средняя общеобразовательная школа имени И.Д. Папанина ;152742, Ярославская обл., Некоузский р-н, пос. Борок, д. 134 ;Соколова Ольга Александровна;48547;24308;borkovskaya-shkola@yandex.ru;http://borokshkola.ucoz.ru;16;74;100;14;43;71,4;16;4,7;100;3;58,7;100;4;43,8;50;5;67;100;;;;4;52;75;2;73;100;1;44;100;10;55,4;90;1;76;100;;;;;;;58.063588;38.235901
136;762804;Некоузский;;Муниципальное общеобразовательное учреждение Волжская средняя общеобразовательная школа ;152750, Ярославская обл., Некоузский р-н, пос. Волга, ул. Линейная, д.3 ;Иванова Ирина Анатольевна;48547;26493;volga-school@mail.ru;http://volz-shnkz.edu.yar.ru/;7;72,7;100;5;51,4;100;6;4;100;3;55;100;;;;1;47;100;;;;;;;;;;1;75;100;4;57,5;100;;;;;;;;;;57.949167;38.389926
137;762806;Некоузский;;муниципальное общеобразовательное учреждение Воскресенская средняя общеобразовательная школа ;152710, Ярославская обл., Некоузский р-н, с. Воскресенское, ул. Центральная, д.37 ;Антонова Наталья Алексеевна;48547;31472;nekvocosh@yandex.ru;http://vosk-shnkz.edu.yar.ru/;7;59,9;85,7;5;50,8;100;6;4,2;83,3;1;46;100;;;;1;42;100;;;;2;44;100;;;;4;61,3;100;4;61;100;;;;;;;;;;57.953853;37.894262
138;762810;Некоузский;;муниципальное общеобразовательное учреждение Мокеевская средняя общеобразовательная школа ;152701, Ярославская обл., Некоузский р-н, с. Мокеиха, ул. Вокзальная, д.6 ;Соколова Лидия Яковлевна;48547;23213;mokeiha.sosh@yandex.ru;http://moksosh.ru/;2;75;100;2;49,5;100;2;4,5;100;2;48;100;;;;;;;;;;;;;;;;;;;2;56;100;;;;;;;;;;57.943827;37.394521
139;762811;Некоузский;;муниципальное общеобразовательное учреждение Некоузская вечерняя (сменная) общеобразовательная школа ;152730, Ярославская обл., Некоузский р-н, с. Новый Некоуз, ул. Колхозная, д.42 ;Лебедева Елена Валентиновна;48547;21199;oly6755@yandex.ru;http://vsh-nkz.edu.yar.ru;2;60;100;;;;2;3;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.903851;38.0632
140;762813;Некоузский;;муниципальное общеобразовательное учреждение Некоузская средняя общеобразовательная школа ;152730, Ярославская обл., Некоузский р-н, с. Новый Некоуз, ул. Советская, д.38 ;Бесперстова Валентина Александровна;48547;21080;skol1994@mail.ru;http://sch-nkz.edu.yar.ru;20;75,1;100;18;48,8;94,4;11;4,1;100;8;56;100;1;49;100;3;48,3;100;;;;1;72;100;1;62;100;;;;7;63,1;100;1;58;100;;;;;;;57.901833;38.059975
141;762815;Некоузский;;муниципальное общеобразовательное учреждение Октябрьская средняя общеобразовательная школа ;152700, Ярославская обл., Некоузский р-н, пос. Октябрь, ул. Ленина, д.11 ;Парфентьев Олег Витальевич;48547;31240;oktjabrskaja.sosh@rambler.ru;http://oktschool.edu.yar.ru/;4;73,5;100;4;49;100;4;4,8;100;;;;;;;1;50;100;;;;;;;;;;;;;4;57,8;100;;;;;;;;;;57.822519;37.385475
142;762821;Некоузский;;муниципальное общеобразовательное учреждение Шестихинская средняя общеобразовательная школа ;152751, Ярославская обл., Некоузский р-н, д. Новая Ура, ул. Центральная, д.5 ;Власов Алексей Викторович;48547;32695;shestihinoschool@yandex.ru;http://shestihino.ucoz.ru/;4;56,5;100;1;50;100;4;3,5;100;1;46;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.931549;38.193761
143;762914;Некрасовский;;муниципальное бюджетное образовательное учреждение Левашовская средняя общеобразовательная школа;152262, Ярославская обл., Некрасовский р-н, с. Левашово, ул. Молодежная, д.13;Стрижова Елена Сергеевна;48531;35371;direktor.lsch@yandex.ru;http://levashov.edu.yar.ru;4;71;100;4;47,8;100;4;4,8;100;;;;;;;;;;;;;1;27;0;1;52;100;1;43;100;4;49,3;50;;;;;;;;;;57.641206;40.534447
144;762902;Некрасовский;1;муниципальное бюджетное общеобразовательное учреждение Бурмакинская средняя общеобразовательная школа № 1;152291, Ярославская обл., Некрасовский р-н, пос. Бурмакино, ул. Советская, д.6а;Гавриленко Ирина Владимировна;48531;54197;burmschool_1@mail.ru;http://schbur.edu.yar.ru;11;74,2;100;3;31,7;66,7;11;4,5;100;3;40;66,7;2;64;100;2;82;100;;;;;;;;;;4;57,3;100;6;62,3;100;;;;;;;;;;57.442297;40.314944
145;762904;Некрасовский;;муниципальное бюджетное общеобразовательное учреждение Вятская средняя общеобразовательная школа;152286, Ярославская обл., Некрасовский р-н, с. Вятское, ул. Давыдковская, д.25;Петров Василий Григорьевич;48531;64385;vyatskayaschool@yandex.ru;http://vyatskoe76.narod.ru;3;63;100;2;22,5;50;3;4;100;1;20;0;;;;;;;;;;1;20;0;;;;1;54;100;2;46;50;;;;;;;;;;57.863888;40.259185
146;762915;Некрасовский;;муниципальное бюджетное общеобразовательное учреждение Некрасовская средняя общеобразовательная школа;152260, Ярославская обл., Некрасовский р-н, пос. Некрасовское, ул. Строителей, д.7;Петров Александр Владимирович;48531;41635;nekrschool@yandex.ru;http://nekrschool.edu.yar.ru;34;67,5;100;25;42,2;88;34;4,4;100;7;50,3;100;7;44;85,7;6;54,7;100;;;;3;45;66,7;;;;4;45;100;20;52,8;85;1;57;100;;;;;;;57.682139;40.36091
147;762906;Некрасовский;;муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа им. Н.А. Некрасова;152275, Ярославская обл., Некрасовский р-н, д. Грешнево, ул. Центральная, д.1;Ежова Елена Николаевна;48531;35455;grechnevo@yandex.ru;http://gr-school.edu.yar.ru;6;71,3;100;3;44,7;100;6;4,5;100;;;;2;48,5;100;;;;;;;1;72;100;1;54;100;;;;3;46,3;33,3;;;;;;;;;;57.707061;40.214916
148;762912;Некрасовский;;муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа им.Карла Маркса;152280, Ярославская обл., Некрасовский р-н, пос. Красный Профинтерн, ул. Депутатская, д.30;Ленивкова Светлана Владимировна;48531;61189;shkola-imkarlamarksa@yandex.ru;http://sch-kmarks.edu.yar.ru;5;64,8;100;4;30,8;75;5;4,6;100;2;34;50;2;53,5;100;3;57,7;100;;;;;;;;;;;;;2;52;100;;;;;;;;;;57.747371;40.438309
149;762903;Некрасовский;2;муниципальное общеобразовательное учреждение Бурмакинская средняя общеобразовательная школа № 2;152295, Ярославская обл., Некрасовский р-н, с. Бурмакино, ул. Центральная, д.21;Зрулина Светлана Анатольевна;48531;53136;burm22007@yandex.ru;http://burmak2.edu.yar.ru;6;55,2;100;5;34;100;6;3,8;100;2;26;0;;;;;;;;;;;;;;;;;;;3;50;100;;;;;;;;;;57.43335;40.311961
150;763007;Первомайский;;муниципальное общеобразовательное учреждение Козская средняя школа;152437, Ярославская обл., Первомайский р-н, с. Коза, ул. Заречная, д.45;Беликов Сергей Юрьевич;48549;34304;kosa20074@yandex.ru;http://kozs-prv.edu.yar.ru;5;65;100;2;34;50;5;4,2;100;;;;;;;;;;;;;;;;;;;;;;2;55,5;100;;;;;;;;;;58.45605;39.923215
151;763014;Первомайский;;муниципальное общеобразовательное учреждение Первомайская средняя школа;152450, Ярославская обл., Первомайский р-н, с. Кукобой, ул. Школьная, д.2;Соколова Татьяна Анатольевна;48549;31108(дир), 31192(бухг), 31157(дошк.гр.);kukoboi2012@yandex.ru;http://sh-prv.edu.yar.ru;6;72,5;100;3;52;100;6;4,2;100;2;67,5;100;;;;1;59;100;;;;;;;;;;;;;2;51;100;;;;;;;;;;58.697709;39.905033
152;763016;Первомайский;;муниципальное общеобразовательное учреждение Пречистенская средняя школа;152430, Ярославская обл., Первомайский р-н, пос. Пречистое, ул. Ярославская, д.86а;Курсо Светлана Анатольевна;48549;21152(дир), 22642(бухг), 21252(завучи), 21852(учительск.);prechist_school@mail.ru;http://prechist-sch.edu.yar.ru;12;77,3;100;8;43,5;87,5;12;4,4;100;2;51,5;100;;;;3;63,7;100;;;;;;;;;;2;43;100;7;60,9;100;;;;;;;;;;58.428482;40.315932
153;763017;Первомайский;;муниципальное общеобразовательное учреждение Семёновская средняя школа;152445, Ярославская обл., Первомайский р-н, с. Семёновское, ул. Центральная, д.49;Безворотняя Ирина Александровна;48549;32193;semenovskoe1@yandex.ru;http://semn-prv.edu.yar.ru;8;72,1;100;6;38,2;83,3;7;4,6;100;2;44,5;100;2;53;100;3;69,7;100;;;;1;51;100;;;;;;;3;53,7;100;;;;;;;;;;58.607585;39.655437
154;763103;Переславский;;Муниципальное образовательное учреждение Берендеевская средняя общеобразовательная школа Переславского муниципального района Ярославской области;152000, Ярославская обл., Переславский р-н, с. Берендеево, ул. Центральная, д.3;Воробьева Татьяна Анатольевна;48535;45969;berendei_sh@mail.ru;http://76pz-bersh.edusite.ru;3;77,7;100;;;;3;4,3;100;;;;1;69;100;2;54;50;;;;;;;;;;1;62;100;2;59,5;100;;;;;;;;;;56.598319;39.020049
155;763108;Переславский;;муниципальное образовательное учреждение Дубковская средняя общеобразовательная школа Переславского муниципального района;152015, Ярославская обл., Переславский р-н, пос. Дубки, ул. Клубная, д.1а;Беляева Нина Васильевна;48535;41348;dubkipr@mail.ru;http://76pz-dubki.edusite.ru;4;75,8;100;2;31,5;50;4;4,8;100;2;51;100;;;;1;39;100;;;;;;;;;;;;;;;;;;;;;;;;;56.707713;39.135492
156;763117;Переславский;;Муниципальное образовательное учреждение Кубринская средняя общеобразовательная школа Переславского муниципального района Ярославской области;152032, Ярославская обл., Переславский р-н, с. Кубринск, ул. Советская, д.5;Гаврилов Юрий Борисович;48535;48533;kybryur@rambler.ru;http://76pz-kybr.edusite.ru/;2;48;100;;;;2;3,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.719249;38.363066
157;763118;Переславский;;муниципальное образовательное учреждение Купанская средняя общеобразовательная школа Переславского муниципального района;152018, Ярославская обл., Переславский р-н, пос. Купанское, ул. Советская, д.1;Зимина Светлана Алексеевна;48535;49346;maltsev.1977@mail.ru;http://kupn-shprs.edu.yar.ru;2;77,5;100;2;44,5;100;2;4;100;;;;;;;1;44;100;;;;;;;;;;;;;2;51,5;100;;;;;;;;;;56.820671;38.677872
158;763121;Переславский;;Муниципальное образовательное учреждение Нагорьевская средняя общеобразовательная школа Переславского муниципального района Ярославской области;152030, Ярославская обл., Переславский р-н, с. Нагорье, ул. Запрудная, д.2б;Воробьева Надежда Николаевна;48535;46504;nagore2@rambler.ru;http://76pz-nagore.edusite.ru/;8;74,6;100;3;52,3;100;8;4,5;100;1;69;100;3;51,3;100;3;70,3;100;;;;;;;;;;4;55,8;100;4;61,3;100;;;;;;;;;;56.92198;38.256849
159;763113;Переславский;;муниципальное общеобразовательное учреждение Ивановская средняя общеобразовательная школа Переславского муниципального района Ярославской области;152004, Ярославская обл., Переславский р-н, пос. Ивановское, ул. Ленина, д.12;Моисеев Андрей Юрьевич;48535;41821;isoh50@rambler.ru;http://shivan-prs.edu.yar.ru/;4;87,8;100;3;44,3;100;2;4,5;100;;;;1;72;100;2;81,5;100;;;;;;;;;;1;78;100;3;81,7;100;;;;;;;;;;56.8677;39.031449
160;763126;Переславский;;муниципальное общеобразовательное учреждение Рязанцевская средняя общеобразовательная школа Переславского муниципального района;152006, Ярославская обл., Переславский р-н, пос. Рязанцево, ул. Большая Октябрьская, д.60;Сергеева Ирина Николаевна;48535;42169;ryazsosh@rambler.ru;http://ryazn-shprs.edu.yar.ru;6;81,8;100;5;40,8;80;6;4,7;100;1;67;100;1;62;100;2;60;100;;;;;;;;;;;;;3;59,3;100;1;50;100;;;;;;;56.711691;39.209675
161;764302;Пошехонский;2;муниципальное бюджетное общеобразовательное средняя школа № 2 г.Пошехонье;152850, Ярославская обл., Пошехонский р-н, г. Пошехонье, ул. Советская, д.4;Селезнева Ирина Юрьевна;48546;23276;sh2posh@rambler.ru;http://sh2-psh.edu.yar.ru;15;67,6;100;9;55,1;100;15;4,3;86,7;1;52;100;2;44;100;6;50,3;66,7;;;;;;;;;;2;47;100;11;56,7;90,9;;;;;;;;;;58.499546;39.120642
162;763203;Пошехонский;;муниципальное бюджетное общеобразовательное учреждение Белосельская средняя школа;152871, Ярославская обл., Пошехонский р-н, с. Белое, ул. Федоровская, д.32 ;Скобелева Любовь Алексеевна;48546;32347;beloeshkola@mail.ru;http://76423s007.edusite.ru;6;65,2;100;4;53,3;100;6;4,5;100;1;53;100;;;;;;;;;;;;;;;;;;;4;58,3;100;;;;;;;;;;58.381317;39.394233
163;763209;Пошехонский;;муниципальное бюджетное общеобразовательное учреждение Гаютинская средняя школа;152854, Ярославская обл., Пошехонский р-н, с. Гаютино, ул. Центральная, д.42 ;Николаева Евгения Евгеньевна;48546;32176;gajutinoshool@rambler.ru;http://76423s011.edusite.ru;6;76,5;100;4;44,5;100;6;4,5;100;;;;;;;3;48,3;100;;;;;;;;;;;;;4;63,3;100;;;;;;;;;;58.696475;38.516274
164;763214;Пошехонский;;муниципальное бюджетное общеобразовательное учреждение Ермаковская средняя школа;152853, Ярославская обл., Пошехонский р-н, д. Климовское, ул. Церковная, д.32;Вострилов Николай Валентинович;48546;32439;ermakposh@yandex.ru;http://76423s005.edusite.ru;9;77;100;6;49,5;100;9;4,2;100;1;53;100;1;64;100;1;58;100;;;;1;61;100;;;;;;;3;52,3;100;;;;;;;;;;58.60871;38.685022
165;763220;Пошехонский;;муниципальное бюджетное общеобразовательное учреждение Колодинская средняя школа;152885, Ярославская обл., Пошехонский р-н, с. Колодино, ул. Центральная, д.26;Кулакова Ирина Павловна;48546;44247;kolod0907@rambler.ru;http://76423s008.edusite.ru;5;64,8;100;5;25,8;40;5;4;100;;;;;;;;;;;;;1;59;100;;;;;;;3;59,7;100;;;;;;;;;;58.787498;39.167103
166;764301;Пошехонский;1;муниципальное бюджетное общеобразовательное учреждение средняя школа № 1 г.Пошехонье;152850, Ярославская обл., Пошехонский р-н, г. Пошехонье, ул. Красноармейская, д.3;Смирнова Елена Михайловна;48546;22706;schola4@rambler.ru;http://76423s001.edusite.ru;22;68,8;100;19;51,8;89,5;18;4,5;100;6;61,5;100;;;;6;51;100;;;;1;73;100;1;69;100;;;;11;57,4;100;;;;;;;;;;58.501201;39.142624
167;763232;Пошехонский;;муниципальное бюджетное общеобразовательное учреждение Юдинская средняя школа;152883, Ярославская обл., Пошехонский р-н, д. Юдино, ул. Центральная, д.9;Васильева Елена Николаевна;48546;31142;judsoshramblerru07@rambler.ru;http://76423s027.edusite.ru;2;92;100;;;;2;5;100;;;;1;46;100;2;60;100;;;;;;;;;;;;;1;74;100;;;;;;;;;;58.707938;39.299767
168;763335;Ростовский;;"Муниципальное общеобразовательное учреждение ""Школа имени Евгения Родионова""";152121 Ярославская обл. Ростовский р-н, д. Судино д.27;Тимофеева Вера Геннадьевна;48536;22498;shkola-sudino@mail.ru;http://sudin-ros.edu.yar.ru;10;65,7;100;10;22,9;40;10;3,9;100;1;41;100;1;21;0;1;18;0;;;;2;27,5;50;;;;1;64;100;5;47,2;80;;;;;;;;;;57.207409;39.288556
169;763313;Ростовский;;муниципальное общеобразовательное учреждение Белогостицкая средняя общеобразовательная школа;152110, Ярославская обл., Ростовский р-н, с. Белогостицы, д.35;Менячихина Нина Николаевна;48536;22231;belog-school@mail.ru;http://belog-ros.edu.yar.ru;6;67,8;100;6;38,8;83,3;6;4,3;100;2;47,5;100;;;;2;42,5;100;;;;;;;;;;;;;6;47,3;83,3;1;41;100;;;;;;;57.230504;39.498294
170;764401;Ростовский;;Муниципальное общеобразовательное учреждение гимназия имени А.Л.Кекина города Ростова;152151, Ярославская обл., г. Ростов, ул. Моравского, д.6;Бражников Данил Александрович;48536;60545;gimn1@mail.ru;http://gim-kekina.edu.yar.ru;73;76,2;100;54;60,5;94,4;73;4,7;100;24;57,2;95,8;7;58,9;100;8;51,8;87,5;;;;15;65,5;100;3;62,7;100;12;71;100;38;61,9;100;5;73,2;100;;;;1;52;100;57.189846;39.414562
171;763316;Ростовский;;муниципальное общеобразовательное учреждение Дмитриановская средняя общеобразовательная школа;152133, Ярославская обл., Ростовский р-н, с. Дмитриановское, ул. Кузьмина, д.39;Кузнецов Александр Николаевич;48536;41756;dmitrianovckoe@mail.ru;http://76206s024.edusite.ru;5;68,4;100;3;43,3;66,7;5;4,4;100;2;51;100;;;;;;;;;;;;;;;;1;62;100;3;61;100;;;;;;;;;;57.098807;39.144214
172;763319;Ростовский;;муниципальное общеобразовательное учреждение Ишненская средняя общеобразовательная школа;152120, Ярославская обл., Ростовский р-н, пос. Ишня, ул. Школьная, д.4;Федотова Людмила Александровна;48536;29316;Ishnenskayashkola@yandex.ru;http://ishn-ros.edu.yar.ru;10;61,1;100;7;40;85,7;9;4,4;100;1;44;100;1;44;100;3;44;66,7;;;;1;42;100;1;68;100;1;40;100;7;51,7;100;;;;;;;;;;57.191206;39.355543
