Number;Name;Address;INN;OGRN;Registration number;Requisites;Date of decision;Expiry date;Education levels;Date order for renewal;Number order for renewal;Order the suspension of date;Order the suspension of number;Order the resumption date;Order the resumption number;Order date of the withdrawal ;Order number of the withdrawal ;Order date of the termination;Order number of the termination;Latitude;Longitude
№ 336;Муниципальное общеобразовательное учреждение Першинская основная школа Тутаевского муниципального района;152311, Российская Федерация, Ярославская область, Тутаевский район, деревня Першино, улица Молодежная, дом 14;7611008528;1027601273237;214/16;76А01 № 0000461;10.06.2014;10.06.2026;Начальное общее образование, основное общее образование ;15.12.2016;955/05-03;;;;;;;;;58.109329;39.470393
№ 337;муниципальное образовательное учреждение Помогаловская основная школа;152302, Ярославская обл., Тутаевский р-н, д. Ясиплево, Школьный пер., д. 5;7611008479;1027601273677;фев.81;ОП 006101;05.04.2010;05.04.2015;Начальное общее образование, основное общее образование ;;;;;;;;;;;57.934674;39.50566
338;Муниципальное общеобразовательное учреждение Савинская основная  школа Тутаевского муниципального района ;152313, Российская Федерация, Ярославская область, Тутаевский район, село Савинское, улица Новая, дом 17;7611008535;1027601273248;113/16;76А01 № 0000364;27.02.2015;27.02.2027;Начальное общее образование, основное общее образование ;06.05.2016;439/05-03;;;;;;;;;57.941038;39.369772
№ 339;Муниципальное  общеобразовательное учреждение лицей № 1 Тутаевского муниципального района ;152300, Российская Федерация,  Ярославская область, город Тутаев, проспект 50-летия Победы, дом 23;7611008408;1027601274183;178/15;76А01 № 0000234 ;11.03.2013;11.03.2025;Начальное общее образование, основное общее образование, среднее общее образование  ;22.12.2015;717/05-03;;;;;;;;;57.865075;39.519737
№ 340;Муниципальное общеобразовательное учреждение Фоминская средняя школа Тутаевского муниципального района;152309, Российская Федерация, Ярославская область, Тутаевский район, поселок Фоминское, улица Центральная, дом 39;7611008373;1027601275437;207/16;76А01 № 0000454;21.04.2014;21.04.2026;Начальное общее образование, основное общее образование, среднее общее образование  ;12.12.2016;934/05-03;;;;;;;;;57.839147;39.580526
341;Муниципальное общеобразовательное учреждение Ченцевская средняя школа Тутаевского   муниципального района ;152332, Российская Федерация, Ярославская область, Тутаевский район, деревня Ченцы, улица  Звездная, дом 2;7611008574;1027601273611;42/16;76А01 № 0000295;12.05.2014;12.05.2026;Начальное общее образование, основное общее образование, среднее общее образование  ;18.02.2016;153/05-03;;;;;;;;;57.868876;39.871607
№ 342;муниципальное общеобразовательное учреждение средняя общеобразовательная школа №4 г.Ростова ;152150, Ярославская область, г. Ростов, 1 МКР, д. 27;7609013249;1027601070892;194/16;76А01 № 0000442;11.03.2013;11.03.2025;Начальное общее образование, основное общее образование, среднее общее образование  ;25.11.2016;880/05-03;;;;;;;;;57.205713;39.436544
№ 343;"муниципальное образовательное учреждение средняя общеобразовательная школа № 4 ""Центр образования""";152300, Ярославская обл., Тутаевский р-н, г. Тутаев, ул. Петра Шитова, д. 63;7611017265;1077611001049;105/13;76А01 № 0000140;24.05.2013;24.05.2025;Начальное общее образование, основное общее образование, среднее общее образование  ;;;;;;;;;;;57.87193;39.521848
№ 344;Муниципальное общеобразовательное учреждение средняя школа № 7 имени адмирала Ф.Ф.Ушакова  Тутаевского  муниципального района ;152303, Российская Федерация, Ярославская область,  город Тутаев, ул. Комсомольская, дом  117;7611008415;1027601275613;50/16;76А01 № 0000300;28.03.2014;28.03.2026;Начальное общее образование, основное общее образование, среднее общее образование  ;25.02.2016;187/05-03;;;;;;;;;57.858085;39.503001
№ 345;муниципальное образовательное учреждение дополнительного образования детей детско-юношеская спортивная школа №4;152300, Ярославская обл., Тутаевский р-н, г. Тутаев, пр-т 50-летия Победы, д. 36;7611017145;1077611000862;авг.42;ДД 005520;24.05.2010;24.05.2015;Дополнительное  образование ;;;;;;;;;;;57.860154;39.52165
№ 346;муниципальное общеобразовательное учреждение средняя общеобразовательная школа №6;Российская Федерация, 152611, Ярославская область, г. Углич, ул. Кирова, д.83;7612008658;1027601304939;200/16;76А01 № 0000447;22.03.2011;22.03.2023;Начальное общее образование, основное общее образование, среднее общее образование  ;26.04.2012 30.11.2016;268/05-03 895/05-03;;;;;;;;;57.529356;38.286916
№ 347;государственное профессиональное  образовательное учреждение Ярославской области Угличский индустриально-педагогический колледж;Российская Федерация, 152615, Ярославская область, г. Углич, ул. Академика Опарина, д.2;7612007492;1027601304268;119/15;76А01 № 0000054;24.05.2011;24.05.2017;"Среднее профессиональное образование  по программам  подготовки квалифицированных рабочих (служащих):  100000 Сфера обслуживания;  140000 Энергетика, энергетическое  ашиностроение и электротехника;  150000 Металлургия,  машиностроение и  материалообработка;  260000 Технология продовольственных продуктов и потребительских товаров;  среднее профессиональное  образование по программам подготовки  специалистов среднего звена:  050000 Образование и педагогика;  100000 Сфера обслуживания;  230000 Информатика и вычислительная техника;  260000 Технология продовольственых  продуктов и потребительских товаров ";"28.05.2012; 11.03.2013; 11.08.2015";"385/05-03;131/05-03; 373/05-03";;;;;;;;;57.524475;38.308997
№ 348;Муниципальное общеобразовательное учреждение Василёвская средняя общеобразовательная школа;Российская Федерация, Ярославская область, Угличский район, село Василёво, улица Школьная, дом 2;7612008440;1027601307249;май.17;76А01 № 0000478;08.12.2011;08.12.2023;Начальное общее образование, основное общее образование, среднее общее образование  ;30.04.2013 10.01.2017;№ 280/05-03 7/05-03;;;;;;;;;57.236579;38.584402
№ 349;муниципальное общеобразовательное учреждение Улейминская средняя общеобразовательная школа;152632, Ярославская область, Угличский район, село Улейма, улица Школьная, д. 3;7612008591;1027601307875;72/15;76А01 № 0000151;20.06.2011;20.06.2023;Начальное общее образование, основное общее образование, среднее общее образование ;"30.04.13; 30.04.2015";"285/05-03; 162/05-03";;;;;;;;;57.442816;38.410183
№ 350;муниципальное образовательное учреждение  для детей дошкольного и младшего школьного возраста Радищевская начальная  школа -детский сад ;152627, Ярославская область, Угличский район, с. Никольское, ул. Молодёжная, д.2 ;7612008513;1027601304708;162/13;76А01 № 0000195;19.12.2013;19.12.2025;"Среднее профессиональное образование:13.00.00 Электро-и теплоэнергетика (укрупненная  группа профессий);  19.00.00 Промышленная экология и биотехнология (укрупненная группа  профессий); 23.00.00 Техника и технолгии наземного транспорта (укрупненная группа  профессий) ";;;;;;;;;;;57.595766;38.63663
№ 351;муниципальное образовательное учреждение дополнительного образования детей Детская художественная школа Угличского муниципального района;152615, Ярославская обл., Угличский р-н, г. Углич, Студенческий г. ок, д. 5;7612010992;1027601305918;авг.56;ДД 005477;11.03.2010;11.03.2015;Дополнительное образование ;;;;;;;;;;;57.705743;38.585453
№ 352;Муниципальное общеобразовательное учреждение Воскресенская основная общеобразовательная школа;152634, Ярославская обл., Угличский район, д. Ново, ул. Центральная, д. 25;7612008369;1027601303840;136/15;76А01 № 0000197;05.11.2015;05.11.2027;Начальное  общее образование, основное общее образование ;;;;;;;;;;;57.300693;38.618511
353;муниципальное общеобразовательное учреждение Головинская средняя общеобразовательная школа;152640, Ярославская область, Угличский район, д. Головино;7612008538;1027601304609;33/14;76А01 № 0000243;05.03.2014;05.03.2026;Начальное общее образование, основное общее образование, среднее общее образование  ;;;;;;;;;;;57.493363;38.164143
№ 354;муниципальное  общеобразовательное учреждение Татищевская основная общеобразовательная школа ;"152105, Ярославская область, Ростовский район, с.Татищев Погост, дом 10 ""а""";7609013312;1027601069110;177/16;76А01 № 0000430;11.03.2013;11.03.2025;Начальное общее образование, основное общее образование ;10.11.2016;805/05-03;;;;;;;;;57.334584;39.470132
№ 355;Муниципальное общеобразовательное учреждение Клементьевская основная общеобразовательная школа;Российская Федерация, Ярославская область, Угличский район, с. Клементьево, улица Центральная, дом 10;7612008464;1027601306160;22/17;76А01 № 0000495;26.04.2012;26.04.2024;Начальное общее образование,  основное общее образование ;17.01.2017;27.05.2003;;;;;;;;;57.502194;38.785804
№ 356;муниципальное общеобразовательное учреждение Климатинская средняя общеобразовательная школа;152642, Ярославская область, Угличский район, с. Климатино;7612008577;1027601306292;23/15;76А01 № 0000114;13.02.2015;13.02.2027;Начальное общее образование, основное общее образование, среднее общее образование  ;;;;;;;;;;;57.522435;37.95241
№ 357;Муниципальное общеобразовательное учреждение Маймерская основная общеобразовательная школа;152600, Ярославская область, Угличский район, п/о Маймеры, д. Маймеры;7612008224;1027601307458;24/15;76А01№0000115;13.02.2015;13.02.2027;Начальное общее образование, основное общее образование;;;;;;;;;;;57.420809;38.238173
№ 358;муниципальное общеобразовательное учреждение Ниноровская основная общеобразовательная школа;152622, д. Нинорово Угличского района Ярославской области;7612008432;1027601307117;25/14;76А01 № 0000234 ;21.02.2014;21.02.2026;Начальное общее образование, основное общее образование;;;;;;;;;;;57.641592;38.276756
№ 359;муниципальное общеобразовательное учреждение Плоскинская основная общеобразовательная школа;152646, Ярославская область, Угличский район, д. Заречье;7612008601;1027601306314;14/15;76А01 № 0000106;09.02.2015;09.02.2027;Начальное общее образование, основное общее образование;;;;;;;;;;;57.438577;37.917089
№ 360;Муниципальное общеобразовательное учреждение Прилукская начальная общеобразовательная школа;152651, Ярославская обл., Угличский р-н, с. Прилуки;7612008506;1027601307425;фев.30;ОП 006069;15.02.2010;15.02.2015;Начальное общее образование ;;;;;;;;;;;57.36441;38.038667
№ 361;Муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста Терютинская начальная школа - детский сад;152641, Ярославская область, Угличский район, д. Терютино;7612008425;1027601304774;сен.44;ОП 024198;08.12.2011;08.12.2023;Начальное общее образование ;;;;;;;;;;;57.446991;38.097884
№ 362;Муниципальное общеобразовательное учреждение Ульянковская основная общеобразовательная школа;152647, Ярославская обл., Угличский р-н, д. Ульянкино;7612008418;1027601305764;фев.29;ОП 006196;15.11.2010;15.11.2015;Начальное общее образование, основное общее образование, ;;;;;;;;;;;57.517578;37.85197
№ 363;муниципальное общеобразовательное учреждение Юрьевская средняя общеобразовательная школа;152606, Ярославская обл., Угличский р-н, д. Вякирево;7612008584;1027601307084;фев.51;ОП 024212;08.12.2011;08.12.2023;Начальное общее образование, основное общее образование, среднее общее образование  ;;;;;;;;;;;57.140997;38.287356
№ 364;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа №3;152610, Ярославская область,  г. Углич, ул. Ярославская, д.47;7612008633;1027601308536;июн.14;76А01 № 0000215;28.01.2014;28.01.2026;Начальное общее образование, основное общее образование, среднее общее образование  ;;;;;;;;;;;57.533013;38.33229
№ 365;муниципальное общеобразовательное учреждение средняя общеобразовательная школа №4;152610, Ярославская область,                      г. Углич, Ярославское шоссе, д. 10а;7612008714;1027601306908;143/14;76А01 № 0000072;05.12.2014;05.12.2024;Начальное общее образование, основное общее образование, среднее общее образование  ;;;;;;;;;;;57.534163;38.337815
№ 366;муниципальное общеобразовательное учреждение средняя общеобразовательная школа №5 имени 63-го Угличского пехотного полка;152612 Российская Федерация,  Ярославская область,  г. Углич, ул. Ленинское шоссе, д. 1А;7612008697;1027601303476;15/14;76А01 № 0000224;03.02.2014;03.02.2026;Начальное общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;57.516118;38.315905
367;Муниципальное общеобразовательное учреждение вечерняя (сменная) общеобразовательная школа;152610, Ярославская область, город  Углич, микрорайон Мирный, дом 31;7612008672;1027601305852;31/14;76А01 № 0000241;28.02.2014;28.02.2026;Основное общее образование, среднее общее образование ;;;;;;;;;;;57.538782;38.348181
№ 368;"муниципальное общеобразовательное учреждение ""Кузнечихинская средняя  школа"" Ярославского  муниципального  района     ";150510, Российская Федерация, Ярославская область, Ярославский район, д. Кузнечиха, ул. Центральная, д. 34;7627015425;1027601604645;120/14;76А01 № 0000051;22.03.2011;22.03.2023;Начальное  общее образование, основное общее образование, среднее общее образование ;16.09.2014;346/05-03;;;;;;;;;57.706344;39.897173
№ 369;"муниципальное общеобразовательное учреждение ""Карачихская средняя  школа"" Ярославского  муниципального  района ";150025, Российская Федерация, Ярославская область, Ярославский район, п. Карачиха, ул. Школьная стр.31;7627013650;1027601603920;июл.15;76А01 № 0000100;24.05.2011;24.05.2023;Начальное  общее образование, основное общее образование, среднее общее образование ;20.01.2015;12.05.2003;;;;;;;;;57.645123;39.764546
№ 370;"муниципальное общеобразовательное учреждение ""Карабихская основная  школа"" Ярославского муниципального района ";150522, Российская Федерация, Ярославская область, Ярославский район, д. Карабиха, ул. Школьная, д. 1а;7627014005;1027601602973;126/14;76А01 № 0000057;17.06.2011;17.06.2023;Начальное  общее образование, основное общее образование, ;27.10.2014;380/05-03;;;;;;;;;57.508475;39.763091
№ 371;"муниципальное общеобразовательное учреждение ""Мордвиновская средняя  школа"" Ярославского муниципального района ";Ярославская область, Ярославский район, д. Мордвиново, ул. Школьная, д.10;7627013788;1027601602786;137/14;76А01 № 0000067;28.01.2014;28.01.2026;Начальное  общее образование, основное общее образование, среднее общее образование ;"21.11.2014; 29.12.2015; ";"419/05-03; 761/05-03";;;;;;;;;57.615555;39.445105
№ 372;государственное образовательное учреждение среднего профессионального образованияЯрославский аграрно-политехнический колледж;150525, Российская Федерация,  Ярославская область, Ярославский район, п. Козьмодемьянск;7627003250;1027601602380;115/14;76А01 № 0000014;25.06.2010;25.06.2015;;"10.07.2012; 08.07.2014";" 473/05-03; 297/05-03";;;;;;;;;57.491607;39.688027
№ 373;муниципальное общеобразовательное учреждение лицей № 2;Российская Федерация, 152931 Ярославская область, город Рыбинск, улица Карякинская, дом 104;7610040977;1027601122438;107/16;76А01 № 0000358;29.04.2016;29.04.2028;Начальное  общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;58.047888;38.826022
№ 374;"муниципальное  общеобразовательное учреждение ""Ананьинская основная школа""  Ярославского муниципального района ";150526, Российская Федерация, Ярославская область, Ярославский район, д. Ананьино, ул. Садовая, д. 1;7627013900;1027601604403;36/15;76А01  № 0000123;30.04.2013;30.04.2025;Начальное  общее образование, основное общее образование, ;05.03.2015;74/05-03;;;;;;;;;57.48868;39.962463
№ 375;"муниципальное общеобразовательное учреждение ""Глебовская основная  школа"" Ярославского  муниципального района ";150511, Российская Федерация, Ярославская область, Ярославский район,  д. Глебовское, ул. Мира, д. 1а ;7627013851;1027601603578;124/14;76А01 № 0000055;26.04.2012;26.04.2024;Начальное  общее образование, основное общее образование, ;21.10.2014;374/05-03;;;;;;;;;57.793447;39.951422
№ 376;"муниципальное общеобразовательное учреждение ""Григорьевская средняя школа"" Ярославского муниципального района ";150515, Российская Федерация, Ярославская область, Ярославский район, д. Григорьевское, ул. Клубная, д. 6;7627013724;1027601604887;25/15;76А01 № 0000116;22.05.2012;22.05.2024;Начальное  общее образование, основное общее образование, среднее общее образование ;16.02.2015;47/05-03;;;;;;;;;57.707681;40.002761
№ 377;"муниципальное общеобразовательное учреждение ""Дубковская средняя  школа"" Ярославского  муниципального района ";150545, Российская Федерация,  Ярославская область, Ярославский район,  посёлок Дубки, ул.Школьная, д.3 ;7627013763;1027601602588;123/14;76А01 № 0000054;13.05.2014;13.05.2026;Начальное  общее образование, основное общее образование, среднее общее образование ;14.10.2014;367/05-03;;;;;;;;;57.526877;39.734632
№ 378;"муниципальное образовательное учреждение ""Иванищевская средняя  школа"" Ярославского муниципального района ";150532, Российская Федерация, Ярославская область, Ярославский район, д. Иванищево, ул. Молодежная, д. 12;7627013925;1027601603094;159/14;76А01 № 0000085;28.05.2012;28.05.2024;Начальное  общее образование, основное общее образование, среднее общее образование ;25.12.2014;480/05-03;;;;;;;;;57.518298;39.528505
379;"муниципальное общеобразовательное учреждение ""Ивняковская средняя  школа"" Ярославского муниципального района ";Ярославская область, Ярославский район,  п. Ивняки, ул. Луговая, д. 1а;7627002095;1027602600980;127/14;76А01 № 0000058;12.03.2014;12.03.2026;Начальное  общее образование, основное общее образование, среднее общее образование ;29.10.2014;387/05-03;;;;;;;;;57.617522;39.791612
№ 380;"муниципальное  общеобразовательное учреждение ""Средняя школа № 57"" ";150003, город Ярославль, улица  Советская, дом 71 ;7606035332;1027600845447;142/15;76А01 № 0000201;11.03.2013;11.03.2025;Начальное  общее образование, основное общее образование, среднее общее образование  ;"28.03.2014; 23.11.2015";"152/05-03; 580/05-03";;;;;;;;;57.640479;39.873341
№ 381;"муниципальное общеобразовательное учреждение ""Леснополянская начальная школа им. К.Д. Ушинского"" Ярославского  муниципального района ";150539, Российская Федерация, Ярославская область, Ярославский район, р.п.  Лесная поляна, дом  38;7627028992;1057602599449;56/15;76А01 № 0000138;26.03.2015;26.03.2027;Начальное общее образование ;;;;;;;;;;;57.688409;39.889043
382;"муниципальное общеобразовательное учреждение ""Медягинская основная  школа"" Ярославского  муниципального района ";150514, Российская Федерация, Ярославская область, Ярославски район, с. Медягино, д. 33А;7627014020;1027601605900;85/15;76А01 № 0000162 ;14.05.2015;14.05.2027;Начальное общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;57.75458;39.953551
№ 383;"муниципальное общеобразовательное учреждение  ""Средняя школа № 74 имени Ю.А. Гагарина"" ";150054, город  Ярославль, ул.ица Тургенева, дом 14 ;7606028222;1027600841894;79/16;76А01 №  0000329;11.03.2013;11.03.2025;Начальное  общее образование, основное общее образование, среднее общее образование ;29.03.2016;315/05-03;;;;;;;;;57.633233;39.848961
№ 384;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 37;Российская Федерация, 152906, Ярославская область, город Рыбинск, улица Чехова, дом 48а;7610039724;1027601117378;108/16;76А01 № 0000359;29.04.2016;29.04.2016;Начальное  общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;58.064473;38.871603
№ 385;"муниципальное общеобразовательное учреждение ""Мокеевская средняя  школа"" Ярославского муниципального района  ";150527,  Российская Федерация, Ярославская область, Ярославский район, д. Мокеевское, дом 33;7627018715;1027601606141;38/16;76А01 № 0000292;16.02.2016;16.02.2028;Начальное  общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;57.487563;40.102474
№ 386;"муниципальное образовательное учреждение ""Сарафоновская средняя школа"" Ярославского муниципального района ";150508,  Российская Федерация, Ярославская область, Ярославский район, с. Сарафоново, д.55;7627013770;1027602601156;75/15;76А01 № 0000154;05.05.2015;05.05.2027;Начальное общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;57.663287;39.687848
№ 387;"муниципальное общеобразовательное учреждение ""Спасская средняя школа"" Ярославского  муниципального района "; 150542, Российская Федерация, Ярославская область, Ярославский район, с.Спас-Виталий, д. 6;7627013932;1037602601871;авг.15;76А01 № 0000101;22.05.2012;22.05.2024;Начальное  общее образование, основное общее образование, среднее общее образование ;"11.03.2013; 20.01.2015";"130/05-03; 13/05-03";;;;;;;;;57.798181;40.189862
№ 388;"муниципальное  общеобразовательное учреждение ""Средняя  школа поселка Ярославка"" Ярославского муниципального района "; 150505, Российская Федерация, Ярославская область, Ярославский район, поселок  Ярославка, д. 2Г;7627014301;1027601603480;77/14;76А01 № 0000018;30.04.2014;30.04.2026;Начальное  общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;57.74239;39.835782
№ 389;"муниципальное общеобразовательное учреждение  ""Средняя  школа имени Ф.И. Толбухина"" Ярославского  муниципального района ";150512, Российская Федерация, Ярославская область, Ярославский район, с. Толбухино, ул. Даниловская, д. 6;7627003194;1037602600860;186/15;76А01 № 0000242;28.05.2012;28.05.2024;Начальное  общее образование, основное общее образование, среднее общее образование ;"08.12.2014; 23.12.2015";"448/05-04; 731/05-03";;;;;;;;;57.853196;40.049743
№ 390;"муниципальное общеобразовательное учреждение ""Начальная школа  поселка Заволжье"" Ярославского муниципального района   "; 150027,  Российская Федерация, Ярославская область, Ярославский район,  п. Заволжье, д. 35 ;7627013690;1027601605680;122/14;76А01 № 0000053;12.05.2014;12.05.2026;Начальное  общее образование ;26.09.2014;358/05-03;;;;;;;;;57.669275;40.012679
№ 391;"муниципальное общеобразовательное учреждение ""Ширинская  основная  школа"" Ярославского муниципального района ";150536, Российская Федерация, Ярославская область, Ярославский район, с. Ширинье, ул. Мира, д. 2;7627013918;1027601603061;34/14;76А01 № 0000244; 05.03.2014;30.04.2025;Начальное  общее образование, основное общее образование;;;;;;;;;;;57.553537;39.340038
№ 392;"муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 5 ""Гнездышко"" Ярославского муниципального района";"150502, Ярославская обл., Ярославский р-н, военный г. ок ""Туношна""";7627013883;1037602600771;янв.19;ДД 005467;15.02.2010;15.02.2015;Дошкольное образование ;;;;;;;;;;;57.603632;39.532969
№ 393;"муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 18 ""Теремок""";150501, Ярославская обл., Ярославский р-н, с. Туношна, ул. Школьная, д. 9;7627015030;1027601603017;янв.53;ДД 005529;15.06.2010;15.06.2015;Дошкольное образование ;;;;;;;;;;;57.544144;40.123064
№ 394;государственное образовательное учреждение начального профессионального образования Ярославской области профессиональный лицей № 38;"Российская Федерация, Ярославская область, г. Рыбинск, ул. Рокоссовского, д.9;11";7610029606;1027601116400;мар.93;ОП 024115;22.03.2011;22.03.2016;"Среднее профессиональное образование:13.00.00 Электро-и теплоэнергетика (укрупненная  группа профессий);  19.00.00 Промышленная экология и биотехнология (укрупненная группа  профессий); 23.00.00 Техника и технолгии наземного транспорта (укрупненная группа  профессий) ";27.06.2011;751/01-03;;;;;;;деятельность юридического лица прекращена в связи  с реорганизацией 28.12.2012;;58.083996;38.774072
№ 395;"муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 42 ""Родничок""";150507, Ярославская обл., Ярославский р-н, пос. Ивняки, ул. Центральная, д. 7а;7627016838;1027601603908;янв.33;ДД 005515;24.05.2010;24.05.2015;Дошкольное образование ;;;;;;;;;;;57.617156;39.795619
№ 396;"муниципальное образовательное учреждение дополнительного образования детей Центр внешкольной работы ""Радуга""";150510, Ярославская обл., Ярославский р-н, д. Кузнечиха, ул. Центральная, д. 4а;7627014012;1027601605470;авг.57;ДД 005478;11.03.2010;11.03.2015;Допольнительное образование ;;;;;;;;;;;57.707806;39.898027
№ 397;"муниципальное образовательное учреждение дополнительного образования детей Центр детского творчества ""Солнышко""";150545, Ярославская обл., Ярославский р-н, пос. Дубки, ул. Труда, д. 1а;7627015859;1027601604964;авг.88;ДД 005492;05.04.2010;05.04.2015;Дополнительное образование ;30.04.2010;339/01-03;;;;;;;;;57.52766;39.733132
№ 398;"муниципальное образовательное учреждение дополнительного образования детей Центр детского творчества ""Шанс""";150521, Ярославская обл., Ярославский р-н, пос. Щедрино, ул. Центральная, д. 6-а;7627022101;1027601604106;авг.30;ДД 005561;16.11.2010;16.11.2015;Дополнительное образование ;;;;;;;;;;;57.5543;39.83289
№ 399;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 24 имени Бориса Рукавицына ;Российская Федерация, 152920, Ярославская область, город Рыбинск, улица Б. Рукавицына, дом 35;7610040279;1027601117840;64/16;76А01 № 0000315;22.03.2011;22.03.2023;Начальное  общее образование, основное общее образование, среднее общее образование ;16.03.2016;260/05-03;;;;;;;;;58.062393;38.772069
№ 400;"государственное общеобразовательное учреждение Ярославской области ""Рыбинская школа-интернат № 2""";Российская Федерация, Ярославская область, г. Рыбинск, ул. Гагарина, д.4;7610062392;1027600800918;121/15;76А01 № 0000188;22.03.2011;22.03.2023;Начальное общее образование,  основное общее  образование,  среднее общее образование ;13.08.2015;379/05-03;;;;;;;;;58.03473;38.851902
№ 401;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 32 имени академика А.А.Ухтомского;Российская Федерация, 152900, Ярославская область, город Рыбинск, улица Моховая, дом 18;7610028169;1027601110756;69/16;76А01 № 0000506;20.03.2015;20.03.2027;Начальное  общее образование, основное общее образование, среднее общее образование ;18.03.2016;271/05-03;;;;;;;;;58.038627;38.863482
№ 402;муниципальное  общеобразовательное учреждение средняя общеобразовательная школа № 30;Российская Федерация, 152905, Ярославская область, город Рыбинск, улица Черепанова, дом 15;7610039548;1027601121437;93/16;76А01 № 0000343;24.05.2011;24.05.2023;Начальное  общее образование, основное общее образование, среднее общее образование ;13.04.2016;372/05-03;;;;;;;;;58.045635;38.774198
№ 403;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 21;Российская Федерация, 152912, Ярославская область, город Рыбинск, улица Молодёжная, дом 32;7610038689;1027601121943;дек.17;76А01 № 0000485;24.05.2011;24.05.2023;Начальное  общее образование, основное общее образование, среднее общее образование ;12.01.2017;16.05.2003;;;;;;;;;58.059393;38.806277
№ 404;муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 41;Российская Федерация, 152908, Ярославская область, город Рыбинск, улица Гастелло, 5;7610038752;1027601112384;фев.35;ОП 024162;17.06.2011;17.06.2023;Начальное  общее образование, основное общее образование, среднее общее образование ;;;;;;;;;;;58.032876;38.944052
№ 405;"муниципальное общеобразовательное учреждение  школа-интернат № 2 ""Рыбинский кадетский корпус""";Российская Федерация, 152906, Ярославская область, город Рыбинск, улица Свердлова, дом 26;7610042325;1037601601762;135/16;76А01 № 0000383;30.04.2014;30.04.2026;Начальное  общее образование, основное общее образование, среднее общее образование ;15.06.2016;531/05-03;;;;;;;;;58.063492;38.841239
;государственное  профессиональное образовательное учреждение Ярославской области  Рыбинский колледж городской инфраструктуры ;Российская Федерация, 152912,         г. Рыбинск, Ярославская область, проспект  Ленина, д. 158;7610037710;1027601116333;200/15;76А01 № 0000070;29.12.2015;29.12.2021;"Среднее  профессиональное образование по программам  подготовки квалифицированных рабочих служащих:  08.00.00  Техника и технологии строительства,  11.00.00 Электроника, радиотехника и системы связи,  13.00.00 Электро - и теплоэнергетика,  15.00.00 Машиностроение,  19.00.00 Промышленная экология и биотехнология,  23.00.00 Техника и технологии наземного транспорта, 29.00.00 Технологии легкой промышленности, 38.00.00 Экономика и управление, 42.00.00 Средства массовой информации и  информационно-библиотечное дело; 43.00.00 Сервис и туризм ";05.12.2016;913/05-03;;;;;;;;;58.056779;38.802253
№ 406;государственное  профессиональное образовательное учреждение Ярославской области  Рыбинский колледж городской инфраструктуры ;Российская Федерация, 152912,         г. Рыбинск, Ярославская область, проспект  Ленина, д. 158;7610037710;1027601116333;203/15;76А01 № 0000257;29.12.2015;29.12.2027;Основное общее образование ;;;;;;;;;;;58.056779;38.802253
;государственное профессиональное образовательное учреждение Ярославской области Рыбинский транспортно-технологический колледж ;Российская Федерация, 152909, Ярославская обл., г.Рыбинск, ул.Южная, д.24;7610037702;1027601116443;167/15;76А01 № 0000068;21.04.2014;21.04.2020;"Среднее профессиональное образование по программам подготоваки квалифицированных рабочих (служащих):  15.00.00 Машиностроение;  19.00.00 Промышленная экология и биотехнологии; 23.00.00 Техника и технологии наземного транспорта; 26.00.00 Техника и технологии кораблестроения и водного транспорта; 35.00.00 Сельское, лесное и рыбное хозяйство";"29.12.2014; 15.12.2015";"490/05-03; 675/05-03";;;;;;;;;58.048397;38.908317
